gene_symbol	full	reduced
AHNAK	0.348343667	
AHNAK2	0.307961601	
AHSA1	0.696634275	
AHSG	0.281907801	
AHSP	1.008296504	1.00807371
AIDA	0.874005638	
AIF1	0.580318564	0.586509754
AIF1L	0.581557829	
AIFM1	1.189930836	1.194779672
AK1	0.731552995	0.735007107
AK2	1.103189485	
AKAP12	0.2078941	
AKR1B1	0.83310159	0.836259851
AKR1B10	0.633369955	
AKR1C4	0.583362188	0.592330436
AKR7L	0.728988869	
AKT1S1	0.737248787	0.748264714
AKT2	1.312214687	
AKT3	0.629229286	0.639338083
ALCAM	0.233718007	0.235104852
ALDH1A1	0.642174875	0.64473848
ALDH2	0.533360986	
ALDH3A1	0.779523079	0.780222392
ALDH5A1	0.489095318	
ALMS1	0.460319963	
ALPI	1.260211966	
ALPP	1.402369279	1.398442555
AMBN	0.29884957	0.305701218
AMBP	0.238561975	0.245153764
AMDHD2	0.265529758	
AMFR	0.710192821	0.717845674
AMIGO1	0.522630532	
AMIGO2	0.254883359	0.257047442
AMN	0.527789634	0.532536461
AMOT	0.455813027	
AMOTL2	0.502614166	
AMPD3	0.764260657	
AMY1A_AMY1B_AMY1C	0.520687644	
AMY2A	0.538763173	0.541959517
AMY2B		0.545105119
ANG	0.396679273	0.400048765
ANGPT1	0.948113936	0.948641329
ANGPT2	0.444910014	0.447012579
ANGPTL1	0.32859799	0.33088394
ANGPTL2	0.47781222	0.474980115
ANGPTL3	0.430562151	0.432749446
ANGPTL4	0.527147471	0.533897913
ANGPTL7	0.421632903	0.422533543
ANK2	0.730396293	
ANKMY2	0.820528666	
ANKRA2	0.569860725	
ANKRD54	0.647459675	0.651140214
ANP32C	0.417361438	
ANPEP	0.312730511	0.314219923
ANXA1	0.460400218	
ANXA10	0.923815937	0.92932299
ANXA11	0.738515118	0.745178707
ANXA2	0.738605367	
ANXA3	0.79270594	0.794909922
ANXA4	0.794934944	0.796592193
ANXA5	0.328155758	0.337525028
AOC1	0.621201112	0.625050522
AOC3	0.353255533	0.354185432
AP1G2	0.841771911	
AP2B1	0.501262193	
AP3B1	0.80239726	
AP3S2	0.497396319	
APBB1IP	0.525128776	0.52937383
APCS	0.417006398	
APEX1	0.677085693	0.678841969
APLP1	0.576249724	0.599608539
APOA1	0.297704659	
APOA2	0.526218376	
APOA4	0.371962547	
APOB	0.233888011	
APOBR	0.439047591	
APOC1	0.404943017	
APOD	0.452268982	
APOE	0.740559127	
APOF	0.329584572	
APOH	0.403679351	0.403923774
APOL1	0.653405414	
APOM	0.317042103	0.321219398
APP	0.741968871	0.74686141
APPL2	1.160686448	
APRT	0.537281897	0.541303287
ARAF	0.694018697	
AREG	0.51198471	0.514805366
ARF6	1.110715646	
ARFIP1	0.715474052	
ARG1	0.595523106	0.598157438
ARG2	0.448138773	
ARHGAP1	0.511163617	0.516764678
ARHGAP25	0.663779227	0.67052519
ARHGAP30	0.405143341	
ARHGAP45	0.848990455	
ARHGAP5	0.778633941	
ARHGEF1	0.939310473	
ARHGEF10	0.978706177	
ARHGEF12	1.158062449	1.171586607
ARHGEF5	0.760508202	
ARID3A	0.410153897	
ARID4B	0.46431348	0.468883082
ARL13B	0.71800177	
ARL2BP	0.414833912	
ARMCX2	0.630525784	
ARNT	0.404505305	0.414667388
ARNTL	0.532768706	
ARSA	0.521203096	0.52207094
ARSB	0.626962363	0.626686932
ART3	0.41750944	0.424389477
ART5	0.645882048	
ARTN	0.491297398	0.493923289
ASAH1	0.487119834	
ASAH2	0.614766618	0.615983964
ASGR1	0.359662765	0.366457148
ASGR2	0.277521192	
ASPN	0.291435638	
ASPSCR1	0.710556273	
ASRGL1	1.050101174	
ASS1	0.850297833	
ATF2	0.752345593	0.758900635
ATF4	0.34393649	
ATG16L1	0.89028956	
ATG4A	0.66951023	0.677539077
ATOX1	0.800324772	0.807793346
ATP1B1	0.496619062	
ATP1B2	0.324387516	
ATP1B3	0.404331409	
ATP1B4	0.428017449	
ATP2B4	0.646317408	
ATP5F1D	0.524257451	
ATP5IF1	1.22869346	1.238199892
ATP5PO	0.458983019	0.465544586
ATP6AP2	0.450978006	0.45266219
ATP6V1D	0.293787852	0.292979025
ATP6V1F	0.73083738	0.745159456
ATP6V1G1	0.752867963	
ATP6V1G2	0.989763293	
ATRAID	0.302039035	
ATRN	0.177740536	
ATXN10	0.78922105	0.802373275
ATXN2	1.130962519	
ATXN2L	0.497770487	
ATXN3	0.665080554	
AXIN1	1.06954091	1.083262413
AXL	0.309159351	0.31190638
AZI2	0.587795699	
AZU1	0.850991373	0.855851011
B2M	0.33988323	
B3GAT3	0.20925436	
B3GNT7	0.394137175	
B4GALT1	0.308523088	0.316291087
B4GAT1	0.285235351	0.28620713
BABAM1	0.295462436	
BACH1	0.807817828	0.825877595
BAG3	0.45467866	0.459762985
BAG4	0.507319427	
BAG6	0.39930577	0.404994909
BAIAP2	0.73222272	0.737729933
BAMBI	0.326716224	0.334945147
BANK1	1.186295381	1.201082916
BAP18	0.733060977	
BATF	0.866511285	
BAX	0.985027262	0.997827952
BCAM	0.272039876	0.273698855
BCAN	0.41165852	0.411139259
BCAT1	0.322302725	
BCAT2	0.552080948	
BCHE	0.299952167	
BCL2	0.562276146	
BCL2L1	1.030069315	
BCL2L11	0.49117455	0.493356942
BCL2L15	0.603597298	
BCL7A	0.653103571	
BCL7B	0.471116664	
BCR	1.019032117	1.028394167
BDNF	0.8701792	
BECN1	0.634281937	
BEX3	0.479482878	
BGLAP	0.957374059	
BGN	1.312398138	1.34167695
BHLHE40	0.724656551	
BHMT2	0.263759848	
BID	0.751915586	0.754428423
BIN2	1.014317601	1.025555797
BIRC2	0.701588014	0.704436182
BLMH	0.359365748	0.359846159
BLNK	0.394708952	
BLOC1S2	0.751992642	
BLOC1S3	0.425267007	
BLVRB	0.763397984	0.769525508
BMP10	0.311465994	
BMP4	0.517845762	0.522062099
BMP6	0.462724244	0.458924758
BMPER	0.241495788	
BNIP2	0.35276872	
BNIP3L	0.458209929	
BOC	0.266828625	0.267536476
BOLA1	0.562970399	
BOLA2_BOLA2B	0.57683048	
BPIFA2	1.161709183	
BPIFB1	0.763089029	0.762071261
BPIFB2	0.741189887	
BRAP	1.134201212	
BRD1	0.313571689	
BRD2	0.351605672	
BRD3	0.492430831	
BRDT	0.376949995	
BRK1	0.499273707	0.503026912
BRME1	0.424443907	
BRSK2	0.399878641	
BSG	0.230869833	0.238340397
BSND	0.347393989	
BST1	0.525293362	0.524547971
BST2	0.600836205	0.602606952
BTC	0.82188102	0.828110876
BTD	0.218274897	
BTLA	0.896158221	
BTN1A1	0.410492379	
BTN2A1	0.294463319	0.303831564
BTN3A2	0.420901335	0.429117726
BTNL10	0.409896295	
C19orf12	0.740820388	0.745131891
C1GALT1C1	0.328901793	
C1QA	0.257455542	0.258643965
C1QBP	0.699340082	
C1QL2	0.462584773	
C1QTNF1	0.493660763	0.48855995
C1QTNF5	0.388603023	
C1QTNF6	0.331758615	
C1QTNF9	0.500767474	
C1R	0.199294592	
C1RL	0.212230124	
C1S	0.223212041	
C2	0.266167035	0.267652729
C2CD2L	0.47008692	0.476376342
C2orf69	0.596129775	
C3	0.487450486	
C4BPB	0.459302996	0.462114384
C5	0.157721046	
C7	0.338070241	
C7orf50	0.242661751	
C8B	0.320587001	
C9	0.561378602	
C9orf40	0.858993746	
CA1	0.693684682	0.697768704
CA11	0.348957816	0.355112721
CA12	0.36096025	0.366605939
CA13	1.156761452	1.158491247
CA14	0.434945653	0.438535468
CA2	0.810030683	0.814499465
CA3	0.711509237	0.713354496
CA4	0.272602376	0.274842351
CA5A	1.075737795	1.081309138
CA6	0.766598283	0.767250925
CA7	0.352414725	
CA8	0.26868052	
CA9	0.528665968	0.529297374
CABP2	0.668113702	
CACNA1C	0.33095535	
CACNA1H	0.590517046	
CACNB1	0.607218847	
CACNB3	0.880368321	
CACYBP	1.056923477	
CADPS	0.437243353	
CALB1	0.496035604	0.501908982
CALB2	0.342608977	0.358797909
CALCA	0.850429607	0.855417765
CALCB	0.408789458	
CALCOCO1	1.170949097	1.189229223
CALCOCO2	0.79635483	
CALY	0.386072897	
CAMKK1	0.492088929	0.497973886
CAMLG	0.557805481	
CAMSAP1	1.134355774	
CANT1	0.228277127	0.231608077
CAPG	0.683425723	0.685604789
CAPN3	0.391288367	
CAPS	0.985730244	
CARHSP1	0.584445044	0.591523069
CASC3	0.434619795	
CASP1	0.766284296	0.772983658
CASP10	0.795008499	0.799228855
CASP2	0.749468341	0.761782961
CASP3	0.97890266	0.983140368
CASP4	1.732411856	
CASP7	0.869707533	
CASP8	0.702828363	0.711421317
CASP9	0.627064232	
CASQ2	0.496511738	
CAT	0.586541481	
CBLIF	0.835034393	0.838205464
CBLN1	0.980427328	
CBLN4	0.361062932	0.361577456
CBS	0.532277256	
CBX2	0.407454939	
CC2D1A	0.841593402	0.849441048
CCAR2	0.571320439	
CCDC134	0.50525188	
CCDC28A	0.301909059	
CCDC50	0.792214297	
CCDC80	0.434502566	0.442885297
CCER2	0.649070506	
CCL11	0.451049254	0.453951051
CCL13	0.786530278	0.789058245
CCL14	0.454349153	0.457098374
CCL15	0.504623856	0.50847662
CCL16	0.635681398	0.639879982
CCL17	1.033749202	1.038554824
CCL18	0.824345187	0.826528567
CCL19	1.384945614	1.39885619
CCL2	0.604263683	0.603962636
CCL20	1.005157313	1.015389635
CCL21	0.466600531	0.471515773
CCL22	0.600176093	0.607450768
CCL23	0.486472232	0.490786183
CCL24	0.94659697	0.946965748
CCL25	0.567336353	0.57075337
CCL26	1.02070999	1.030736053
CCL27	0.710208641	0.72284484
CCL28	0.654024391	0.67092413
CCL3	0.71607604	0.717351584
CCL4	0.750443103	0.751295353
CCL5	1.152788293	1.150138462
CCL7	0.692569754	0.694849414
CCL8	0.691868884	0.693111331
CCN1	0.86796539	0.875469553
CCN2	0.647726643	0.645962687
CCN3	0.40532945	0.413886208
CCN4	0.459424356	0.463324458
CCN5	0.492705615	0.500083801
CCND2	0.381057889	
CCNE1	0.964038482	
CCS	0.52784031	0.544444668
CCT5	0.507109025	0.507232579
CD101	0.448661617	
CD109	0.374966587	0.377851211
CD14	0.469467617	0.473919531
CD160	0.525983541	0.534152833
CD163	0.506540014	0.508006187
CD164	0.299615635	0.300637537
CD164L2	0.371866222	
CD177	1.427968884	1.424863938
CD1C	0.279518986	0.279129035
CD2	0.395513422	
CD200	0.302686396	0.305928786
CD200R1	0.392279208	0.392933363
CD207	0.432615553	0.43661363
CD209	0.436974817	0.437788032
CD22	0.493037561	0.492696435
CD226	0.428685516	
CD244	0.306558285	0.306495763
CD248	0.43572892	
CD27	0.463387816	0.474698355
CD274	0.386435716	0.389229029
CD276	0.409056477	0.413511656
CD28	0.405209635	0.411822443
CD2AP	0.715120546	0.727596316
CD300A	0.319168228	
CD300C	0.398209301	0.404573311
CD300E	0.486088245	0.494799271
CD300LF	0.715409924	0.71815784
CD300LG	0.432328478	0.437457445
CD302	0.35633046	0.367426382
CD33	0.894980676	0.894986865
CD34	0.269914276	0.273365378
CD36	0.473504062	
CD38	0.426204893	0.433276345
CD3D	0.350274042	
CD3E	0.364466306	
CD3G	0.919822537	
CD4	0.344608489	0.346086761
CD40	0.558470124	0.563554334
CD40LG	0.880474214	0.880346727
CD46	0.318341296	0.322398428
CD48	0.334193992	0.336876717
CD5	0.390595301	0.39742392
CD55	0.2888631	0.293824358
CD58	0.197739026	0.199224009
CD59	0.264920515	0.275947556
CD5L	0.490754866	
CD6	0.613304053	0.615304679
CD63	0.577882741	0.578416633
CD69	0.973609373	0.976912808
CD7	0.448022473	
CD70	0.500516968	0.502602527
CD72	0.458990173	
CD74	0.411334261	0.418035516
CD79B	0.505935612	0.514085517
CD80	0.367785672	
CD82	0.426989667	
CD83	0.397543545	0.402764044
CD84	0.350287598	0.351002106
CD86	0.309550667	
CD8A	0.563510637	0.565176338
CD93	0.341716183	
CD99	0.249217246	0.254873203
CD99L2	0.279631825	0.283453614
CDA	0.51572627	
CDAN1	0.238735713	
CDC123	0.657612798	
CDC25A	0.413492962	
CDC26	0.731067271	
CDC27	0.670370546	0.680251569
CDC37	0.936200667	0.942394194
CDC42BPB	1.085210647	
CDCP1	0.660076873	0.661672954
CDH1	0.447700668	0.448689189
CDH15	0.750402123	0.752913941
CDH17	0.778648768	0.779130254
CDH2	0.444658915	0.44808302
CDH22	0.291607262	
CDH23	0.275301047	
CDH3	0.398590862	0.406911512
CDH4	0.483379086	
CDH5	0.336072535	0.341141858
CDH6	0.431307037	0.434541202
CDHR1	0.478336984	0.480267412
CDHR2	1.037966739	1.039431462
CDHR5	0.448095383	0.450928666
CDK1	0.375050911	
CDK5RAP3	0.611992054	
CDKL5	0.541169903	
CDKN1A	1.200486763	1.204319285
CDKN2D	1.049867337	1.055440604
CDNF	0.360143804	0.370879536
CDON	0.30280435	0.305410746
CDSN	0.48305272	0.490329757
CEACAM1	0.278839859	0.276195371
CEACAM16	0.869386669	
CEACAM18	0.70802954	
CEACAM19	0.41700291	
CEACAM20	0.455664358	
CEACAM21	0.969135528	0.969376562
CEACAM3	0.526306049	0.530657033
CEACAM5	0.747399596	0.749536794
CEACAM6	0.441891339	
CEACAM8	0.565931806	0.568717455
CEBPA	0.386770741	
CEBPB	0.413052147	0.417265253
CELA2A	0.639412499	
CELA3A	0.649135751	0.650156469
CELSR2	0.300435803	
CEMIP2	0.342547397	
CEND1	0.604632657	
CENPF	0.582592817	
CENPJ	0.730376651	
CEP112	0.460370125	
CEP152	0.43618835	
CEP164	0.689966705	0.693782994
CEP170	0.801400722	
CEP20	0.822771338	0.832273506
CEP290	0.542148507	
CEP350	0.378837594	
CEP43	0.753171037	0.760867364
CEP85	0.709381509	0.723004667
CERT	0.669024762	0.680730231
CES1	0.977451758	0.975974478
CES2	0.642220569	0.638983049
CES3	0.799639199	0.801516955
CETN2	0.752508344	0.752623695
CETN3	0.805863719	
CFB	0.370441819	
CFC1	0.519301943	0.525510761
CFD	0.219939821	
CFH	0.272654053	
CFHR2	0.592504329	
CFHR4	0.753955993	
CFHR5	0.43491501	
CFI	0.231850242	
CFP	0.247358512	
CGA	1.283160872	1.28371868
CGB3_CGB5_CGB8	0.46469321	
CGN	0.408229735	
CGREF1	0.47469817	0.482974582
CHAC2	0.66354878	0.670217941
CHAD	0.539443941	
CHCHD10	0.463922385	
CHCHD6	0.299723745	
CHEK2	0.357389798	0.367535912
CHGA	0.926054329	
CHGB	0.470927639	0.480071677
CHI3L1	0.926592949	0.928314646
CHIT1	1.762947183	1.760708117
CHL1	0.346730713	0.348215571
CHM	0.626805472	
CHMP1A	0.875578381	0.876840382
CHMP6	0.588935886	
CHP1	0.754280274	
CHRDL1	0.392440683	0.400794065
CHRDL2	0.615559636	0.616627765
CHRM1	0.377209312	
CIAPIN1	0.701541731	0.71211447
CILP	0.598538386	
CINP	0.4538368	
CIRBP	0.995036746	
CIT	0.482257826	
CKAP4	0.306860364	0.31556393
CKB	0.705267361	
CKMT1A_CKMT1B	0.758460543	0.755077953
CLASP1	0.744293087	
CLC	0.757076784	0.75861823
CLEC10A	0.406552885	0.41047214
CLEC11A	0.530725287	0.541854175
CLEC12A	0.202449683	
CLEC14A	0.360787684	0.369317636
CLEC1A	0.363316875	0.372177632
CLEC1B	1.081741464	1.083729662
CLEC2L	0.525189598	
CLEC3B	0.225804108	
CLEC4A	0.398371739	0.400232504
CLEC4C	0.531026165	0.531959193
CLEC4D	0.733545164	0.735602258
CLEC4G	0.382289801	0.383251193
CLEC4M	0.506669502	
CLEC5A	0.341813481	0.345794023
CLEC6A	0.531712906	0.536605196
CLEC7A	0.674612041	0.677076775
CLGN	0.460963499	
CLIC5	0.328562256	
CLINT1	0.480257672	
CLIP2	1.26836792	1.277185821
CLMP	0.275307478	0.281128818
CLNS1A	0.352822312	
CLPP	1.06779071	1.074438913
CLPS	0.781943917	0.790371838
CLSPN	0.379876714	0.385625459
CLSTN1	0.57226301	0.576858558
CLSTN2	0.445525637	0.4462486
CLSTN3	0.322798617	
CLTA	0.505252523	0.517424821
CLU	0.321246634	
CLUL1	0.535640352	0.536880928
CMC1	0.94470652	
CMIP	0.86215029	
CNDP1	0.517444039	0.521302545
CNGB3	0.554024292	
CNP	0.828486228	
CNPY2	0.661416159	0.667676384
CNPY4	0.844061816	0.845532858
CNST	1.196861298	1.214532815
CNTF	0.347739264	
CNTN1	0.331541671	0.332150098
CNTN2	0.519825867	0.518018775
CNTN3	0.409746339	0.408920222
CNTN4	0.272993196	0.274848886
CNTN5	0.448941841	0.4496623
CNTNAP2	0.476264567	0.477041973
CNTNAP4	1.06817584	
COCH	0.495092273	
COL15A1	0.296052036	
COL18A1	0.277210172	0.283571616
COL1A1	0.284136861	0.28355654
COL24A1	0.590157422	
COL28A1	0.7911853	
COL2A1	0.828182289	
COL3A1	0.242899924	
COL4A1	0.458391896	0.458355952
COL4A4	0.538404113	
COL5A1	0.414598112	
COL6A3	0.416905462	0.431734988
COL9A1	0.52872649	0.530150965
COL9A2	0.464439279	
COLEC12	0.32417932	0.334578458
COMMD1	0.636227816	
COMMD9	0.411640792	
COMP	0.396548806	0.397996429
COMT	0.925091484	
COPB2	0.439481907	
COPE	0.512454004	0.519286424
COQ7	0.460800118	
CORO1A	0.976718912	0.993935043
CORO6	0.38491346	
COX5B	0.77657071	0.781430127
COX6B1	0.336935874	
CPA1	0.682405402	0.683722286
CPA2	0.738374221	0.738837992
CPA4	0.446727681	
CPB1	0.666992159	0.66846827
CPB2	0.23698358	
CPE	0.434043575	0.436894561
CPLX2	0.318974405	
CPM	0.44098774	0.44126438
CPOX	0.280383045	
CPPED1	0.767546198	0.768249633
CPQ	0.385936394	
CPTP	0.410369863	
CPVL	0.457455072	0.458803842
CPXM1	0.775644486	0.776504999
CPXM2	0.275932497	
CR1	0.378970487	
CR2	0.530444179	0.530862386
CRACR2A	0.950101384	0.970478881
CRADD	0.845778721	0.846720807
CREB3	0.565650946	
CREBZF	0.266422043	
CREG1	0.439665767	0.438448579
CRELD1	0.410282412	
CRELD2	0.58583595	0.588431446
CRH	0.979821871	0.980878015
CRHBP	0.330624519	0.333683644
CRHR1	0.678390674	0.681863538
CRIM1	0.232796787	0.236456644
CRIP2	0.437284942	0.443755396
CRISP2	0.757399078	0.755068974
CRISP3	0.286669659	
CRKL	1.189217588	1.194171677
CRLF1	0.301838672	0.303851486
CRNN	0.776728978	0.777246092
CRTAC1	0.356342298	0.359114503
CRTAM	0.574771689	0.57549519
CRTAP	0.508062678	
CRX	1.193971159	1.189479898
CRYBB1	0.682206139	
CRYBB2	0.715409688	
CRYGD	1.005574152	
CRYM	0.771458627	
CRYZL1	0.946355694	
CSDE1	1.229232114	
CSF1	0.314081463	0.318610858
CSF1R	0.426659616	
CSF2	0.373612541	
CSF2RA	0.686254672	0.686912014
CSF2RB	0.445015448	
CSF3	0.558304896	0.559420585
CSF3R	0.31188178	
CSH1	0.329104961	
CSNK1D	0.653056684	
CSNK2A1	0.469168613	
CSPG4	0.36798934	
CSPG5	0.502901127	
CSRP3	1.005618362	
CST3	0.344586032	0.356974769
CST5	0.635818047	0.640067132
CST6	0.555823412	0.561553506
CST7	1.065663211	1.058570756
CSTB	0.493858159	0.498437841
CTAG1A_CTAG1B	0.509259903	
CTBS	0.286949913	
CTF1	0.924887454	0.93002494
CTHRC1	0.339095684	
CTLA4	0.30716923	
CTNNA1	0.359649046	
CTRB1	0.61915766	0.62128538
CTRC	0.715852378	0.721076023
CTRL	0.715925067	
CTSB	0.613894611	0.609012263
CTSC	0.474978948	0.49691592
CTSD	0.465067741	0.472614486
CTSE	0.543657187	
CTSF	0.464300475	0.464268472
CTSH	0.835085229	0.839693764
CTSL	0.275527921	0.281909252
CTSO	0.354248856	0.356162734
CTSV	0.493324796	0.497713321
CTSZ	0.368379866	0.37147282
CUZD1	0.388949004	
CWC15	0.646340831	
CX3CL1	0.372436729	0.379299295
CXADR	0.570790105	0.575806054
CXCL1	1.075191499	1.071829655
CXCL10	0.784512932	0.787940601
CXCL11	0.900701888	0.902773219
CXCL12	0.439925275	0.448898345
CXCL13	0.69104447	0.695733075
CXCL14	0.72137345	0.721053815
CXCL16	0.272762898	0.276893122
CXCL17	0.616567844	0.617309952
CXCL3	1.054996368	1.057479162
CXCL5	1.314820862	1.31413045
CXCL6	0.861347924	0.864027131
CXCL8	0.776559571	0.778811168
CXCL9	0.792734356	0.799212969
CYB5A	0.738681176	
CYB5R2	0.586779365	
CYP24A1	0.884830773	
CYTH3	0.748027699	
CYTL1	0.262424466	
DAAM1	0.853813578	
DAB2	1.260948548	1.26014287
DAG1	0.539816644	0.538350036
DAND5	0.571411521	
DAPK2	0.57134947	
DAPP1	1.344831184	1.351875779
DARS1	0.810114213	0.816832453
DBH	1.147803771	
DBI	0.885095799	0.885773276
DBN1	0.530552613	
DBNL	1.04061241	1.042496793
DCBLD2	0.404992007	0.40717557
DCC	0.232475511	
DCDC2C	0.642477085	
DCLRE1C	0.318944275	
DCN	0.260039771	0.269267529
DCTD	0.973337028	
DCTN1	0.737199111	0.742359318
DCTN2	1.008809527	1.056413388
DCTN6	0.79119039	0.794829449
DCTPP1	0.357626056	0.360797187
DCUN1D1	0.77154665	
DCUN1D2	0.819426029	
DCXR	0.652412343	0.653996537
DDA1	0.405196019	
DDAH1	0.507513452	0.511039056
DDC	0.550132865	0.551086327
DDHD2	0.696495452	
DDI2	0.825671154	
DDR1	0.259565476	0.263362373
DDT	0.449674715	
DDX1	0.520657019	
DDX25	0.38343516	
DDX39A	0.23135904	
DDX4	0.551303936	
DDX53	0.366288187	
DDX58	0.648103771	0.649221987
DECR1	1.065624566	1.0734452
DEFA1_DEFA1B	0.574227313	0.586405734
DEFB103A_DEFB103B	0.425647675	
DEFB104A_DEFB104B	0.596805548	
DEFB116	0.775177119	
DEFB118	0.588075407	
DEFB4A_DEFB4B	1.739087905	
DENND2B	0.50718565	
DENR	0.581778207	
DFFA	0.751030531	0.751676042
DGCR6	0.451453901	
DGKA	0.557208797	
DGKZ	0.379959029	0.387130656
DHODH	0.481699945	
DHPS	0.425543243	
DHRS4L2	0.488912631	
DIABLO	1.216020035	1.223347705
DIPK1C	0.431756023	
DIPK2B	0.303663	
DKK1	0.675155279	0.673494231
DKK3	0.349390393	0.350700434
DKK4	0.518869099	0.527794798
DKKL1	0.988578364	0.988024711
DLG4	0.744818309	
DLGAP5	0.535377081	
DLK1	0.647773653	0.653258825
DLL1	0.340446088	0.346525521
DLL4	0.889265068	
DMD	0.533214822	
DMP1	0.650238406	
DNAJA1	0.472867741	
DNAJA2	0.924067441	0.928440477
DNAJA4	0.762022628	
DNAJB1	0.987634096	0.992751928
DNAJB14	0.673783194	
DNAJB2	0.570639225	
DNAJB6	0.865485846	
DNAJB8	0.623900768	0.629996628
DNAJC21	0.405537163	
DNAJC6	0.877808181	
DNAJC9	0.812518873	
DNER	0.303256915	0.303516189
DNLZ	0.912242354	
DNM1	1.183753395	
DNM3	0.573391972	
DNMBP	0.69673067	0.707094289
DNPEP	0.609110293	
DNPH1	0.589032026	0.592664254
DOC2B	0.366615516	
DOCK9	1.197854349	
DOK1	1.419786085	
DOK2	1.364067795	1.367722337
DPEP1	0.557462348	0.556920329
DPEP2	0.294049731	0.32743287
DPP10	0.406130724	0.407131817
DPP4	0.331056296	0.332641657
DPP6	0.400110242	0.401457791
DPP7	0.671114527	0.67166302
DPT	0.336776365	0.341752286
DPY30	0.691014928	0.703667808
DRAXIN	0.487210319	0.491958762
DRG2	0.632039958	0.635685914
DSC2	0.389877568	0.397909325
DSCAM	0.373106253	
DSG2	0.312882738	0.315292993
DSG3	0.403195214	0.40627649
DSG4	0.577332406	0.577550133
DTD1	0.896113499	
DTNB	0.482009582	
DTX2	0.652068319	
DTX3	0.287269054	0.293433339
DTYMK	0.726597638	
DUOX2	0.798262877	0.801209297
DUSP13	0.435832598	
DUSP29	0.687366709	
DUSP3	0.94667424	0.952536982
DUT	1.080011207	
DXO	0.475324432	
DYNC1H1	0.489017885	
DYNLT1	0.833023681	
DYNLT3	0.457279234	
EBAG9	1.059314991	1.062764824
EBI3_IL27	0.356478229	0.356950839
ECE1	0.387765601	0.39323755
ECHDC3	0.789292122	
ECHS1	1.009515175	
ECI2	0.635393281	
ECM1	0.379031704	
ECSCR	0.523155197	
EDA2R	0.514902053	0.53137554
EDAR	1.027834419	1.025840924
EDDM3B	0.886685469	
EDEM2	0.375213985	
EDF1	0.716435715	
EDIL3	0.41742217	0.420617806
EDN1	0.318858014	
EDNRB	0.46043674	
EEF1D	0.972085453	
EFCAB14	0.295359312	
EFCAB2	0.360494451	
EFEMP1	0.385325493	0.39162432
EFHD1	0.383167519	
EFNA1	0.313081245	0.325671314
EFNA4	0.341226803	0.356028025
EFNB2	0.599385192	
EGF	1.156212608	1.156830455
EGFL7	0.460003011	0.460955663
EGFLAM	0.321271445	
EGFR	0.186176944	0.188714939
EGLN1	0.61309292	0.616059616
EHBP1	0.78695461	
EHD3	1.200107528	
EIF1AX	0.57078902	
EIF2AK2	1.14307657	
EIF2AK3	0.6877391	
EIF2S2	0.434773003	
EIF4B	0.631991353	0.646836072
EIF4E	0.925418721	
EIF4EBP1	0.737988414	0.739618949
EIF4G1	1.118680444	1.131210832
EIF4G3	0.69302464	
EIF5	0.448132017	
EIF5A	0.327493906	0.332256473
ELAC1	0.885168417	
